sample,window,cycle_midpoint,median_centre_pct,median_A80_pct_points,valid_cycles
1,1-50,25.5,-1.479423820105938,4.60448160311952,50
1,451-500,475.5,-7.115410376186688,3.6564936259906466,50
1,951-1000,975.5,-6.603594944627757,2.8835623908689656,50
1,1951-2000,1975.5,-6.706196499365389,2.7869684083270827,50
1,2951-3000,2975.5,-6.398002640588171,2.990566989933886,50
1,3951-4000,3975.5,-6.706196499365389,2.2647633604547353,50
1,4951-5000,4975.5,-8.231002538688774,2.3215057535306105,50
2,1-50,25.5,-13.372498153518972,6.910906171783523,50
2,451-500,475.5,-25.810491890312015,2.8044153353299706,50
2,951-1000,975.5,-28.111672380313927,2.32136344128957,50
2,1951-2000,1975.5,-28.199399924757373,2.278810515117085,50
2,2951-3000,2975.5,-27.157332355629237,2.343105926138332,50
2,3951-4000,3975.5,-28.181861311800866,1.7614444980294994,50
2,4951-5000,4975.5,-32.73242374242717,1.7654397927091203,50
3,1-50,25.5,7.076330165233652e-05,5.777603269044428,50
3,451-500,475.5,-11.962999388958345,5.615422400343456,50
3,951-1000,975.5,-12.997684285781798,4.81272507806091,50
3,1951-2000,1975.5,-13.24214557635608,4.350241142715768,50
3,2951-3000,2975.5,-12.284658700980852,4.449081663224317,50
3,3951-4000,3975.5,-13.144377984656007,3.2761379199547402,50
3,4951-5000,4975.5,-17.036787531678904,3.6308188476778076,50
4,1-50,25.5,3.418377246643229,11.956393073368664,50
4,451-500,475.5,-14.776287461117255,11.298947895800445,50
4,951-1000,975.5,-18.55995274504575,11.428486262753262,50
4,1951-2000,1975.5,-17.034701249191436,9.879066692043779,50
4,2951-3000,2975.5,-16.056543468113773,9.610596408482573,50
4,3951-4000,3975.5,-15.191684722692314,8.868409001292225,50
4,4951-5000,4975.5,-13.28483266657231,7.817220321497377,50
5,1-50,25.5,-3.181818190910807,5.611942409371532,50
5,451-500,475.5,-14.148856020835007,6.575815595663432,50
5,951-1000,975.5,-13.475276647119156,5.128079771193834,50
5,1951-2000,1975.5,-15.542333926695878,5.52642446167107,50
5,2951-3000,2975.5,-15.480537568418441,5.342502220967083,50
5,3951-4000,3975.5,-17.822813338859625,3.6592088310237427,50
5,4951-5000,4975.5,-17.217911689029126,3.741874551094865,50
