metric,n,mean,sd,median,minimum,maximum
median_MAH_pp,5,2.3826361495263915,0.9240473031850694,2.3116221215462374,1.503295891070931,3.854465538907803
median_absolute_area_pp_mm,5,4.968056568418996,2.0013084117395508,4.086369545221906,3.470534600734208,8.317493245518751
median_signed_area_pp_mm,5,3.809134931382933,1.3903195496871585,3.5157634997269818,2.003050737504672,5.2927576577398
median_3mm_response_pct,5,1.9742930330138098,5.71511685500423,3.743117588775008,-7.972174453141406,6.165663186799594
cycle1_3mm_response_pct,5,4.631902613141511,4.570961402208674,4.889584372457196,-2.0740855320361087,8.916506706322199
cycle5_3mm_response_pct,5,-0.0029525645464900663,6.703897059100056,1.6788874242708578,-11.331914861486123,5.740414876818664
change_3mm_cycle1_to_5_pp,5,-4.634855177688001,3.8962877410997985,-4.96895105040383,-9.257829329450015,0.8508305043614683
relative_change_3mm_cycle1_to_5_pct,5,-133.44193386103643,180.61711762413026,-80.70320586026378,-446.3571625400471,17.400875811738878
median_recovery_0p1mm_pct,5,0.12224700062680335,4.328403270766847,0.9610571599332931,-7.0912597038266565,4.6120284408602386
median_plateau_noise_pct_R,5,0.6062965689289583,0.18530122688237427,0.5602746330084104,0.43735377519168606,0.8626186010765278
