start_s,end_s,displacement_mm,duration_s,sample,cycle,phase,alignment_offset_s,R_median_ohm,R_MAD_ohm,plateau_observations,dR_R0_pct,robust_noise_pct_R
22.103,32.058,0.5,9.954999999999998,1,1,Loading,17.7,3771.428571,12.944603499999857,60,3.6928604503648064,0.508870015374866
33.189,43.126,1.0,9.936999999999998,1,1,Loading,17.7,4104.657534,34.469303500000024,60,12.854763879763942,1.245029309894676
44.257,54.195,1.5,9.938000000000002,1,1,Loading,17.7,3992.768484,11.787881000000198,60,9.778450639527351,0.43770913441722836
55.326,65.266,2.0,9.940000000000005,1,1,Loading,17.7,3984.90566,19.68893500000013,60,9.562267647743518,0.7325346575707941
66.396,76.342,2.5,9.945999999999998,1,1,Loading,17.7,3949.73176,17.492751,60,8.595185218490991,0.6566206063725197
77.473,87.405,3.0,9.932000000000002,1,1,Loading,17.7,3961.418592,13.649330499999905,60,8.916506706322199,0.5108396633510791
88.534,98.461,2.5,9.926999999999992,1,1,Unloading,17.7,3924.5394095,17.33940950000033,60,7.902538695923939,0.6550426901682126
99.592,109.533,2.0,9.941000000000003,1,1,Unloading,17.7,3819.863014,11.271550999999818,60,5.024532479793827,0.43748169636848994
110.663,120.603,1.5,9.939999999999998,1,1,Unloading,17.7,3850.0,18.915476000000126,60,5.8531283884428404,0.7284177848727321
121.733,131.676,1.0,9.942999999999984,1,1,Unloading,17.7,3903.358209,17.269737000000077,60,7.320176011262156,0.6559508685921915
132.808,142.744,0.5,9.936000000000007,1,1,Unloading,17.7,3938.082485,23.336107000000084,60,8.274896334800783,0.8785522489684501
143.675,183.642,0.1,39.966999999999985,1,1,Unloading,17.7,3712.714063,14.526594999999816,60,2.078545033848376,0.5800912588888407
184.572,194.507,0.5,9.935000000000002,1,2,Loading,17.7,3683.72093,10.81071299999985,60,1.281398584541313,0.43510253350814443
195.638,205.576,1.0,9.937999999999988,1,2,Loading,17.7,4030.3504169999997,39.74283000000014,60,10.811740296393532,1.4619751054266756
206.707,216.655,1.5,9.948000000000008,1,2,Loading,17.7,4038.3117005000004,31.863008000000036,60,11.030630365085058,1.1697981524049037
217.785,227.721,2.0,9.936000000000007,1,2,Loading,17.7,3969.230769,19.55159549999985,60,9.13129719332849,0.7302975607941976
228.851,238.793,2.5,9.942000000000007,1,2,Loading,17.7,3914.895889,26.964750000000095,60,7.637396666416638,1.0211750065264669
239.924,249.854,3.0,9.930000000000007,1,2,Loading,17.7,3889.944643,24.780273999999736,60,6.951379147899852,0.9444667624901111
250.983,260.912,2.5,9.928999999999974,1,2,Unloading,17.7,3893.772136,17.273755000000165,60,7.056613461649174,0.6577187433805254
262.043,271.983,2.0,9.939999999999998,1,2,Unloading,17.7,3853.785071,11.343210999999883,60,5.957196338188905,0.43638771542171007
273.113,283.049,1.5,9.935999999999979,1,2,Unloading,17.7,3821.739625,20.583556000000044,60,5.0761286213829635,0.7985154175855206
284.179,294.11,1.0,9.93100000000004,1,2,Unloading,17.7,3878.4865625,19.056374000000005,60,6.636347026795548,0.7284537315552452
295.241,305.182,0.5,9.941000000000031,1,2,Unloading,17.7,3928.4038335,9.678651499999887,60,8.008788402370529,0.3652773320179541
306.114,346.057,0.1,39.94300000000004,1,2,Unloading,17.7,3764.035546,18.415108000000146,60,3.489594262181962,0.7253448801729305
