Sample,Architecture,Late_A80_pct,Resistance_evolution_pp,Late_A80_CV_pct
1,CL2-BL0,7.4160324012,-8.0424053044,10.0090097649
2,CL2-BL0,3.5014602526,-11.9920289823,18.3706386211
3,CL2-BL0,3.8168601695,-10.1277918974,17.2652628132
4,CL3-BL0,13.5152208339,9.9090274568,20.4941711247
5,CL3-BL0,5.1474412715,-8.5107030856,18.2015288577
6,CL3-BL0,9.4595489567,-10.1284423415,7.1288945077
7,CL2-BL1,5.5482293051,-15.8690537866,10.9142773937
8,CL2-BL1,7.7046080572,-10.3598896878,13.0848223135
9,CL2-BL1,5.9265279696,-14.6257660662,9.4099709348
10,CL3-BL1,14.8578533828,-5.4397284011,26.8014599917
11,CL3-BL1,7.2551870105,-13.7536905475,18.8079315945
12,CL3-BL1,7.4999455573,-17.5475205074,11.8210135480
13,CL2-BL2,22.1556701189,-3.4126332001,23.4316118562
14,CL2-BL2,2.9722020049,-10.5771592192,21.7315216795
15,CL2-BL2,13.2610041734,5.7285833381,35.3271460104
16,CL3-BL2,11.7769866963,-23.0176917736,28.7345829017
17,CL3-BL2,5.6123895090,-14.1815424759,37.6375012113
18,CL3-BL2,11.4289859253,-13.4239046950,20.4875611733
