stage,record,source_file,period_s,onset_shift_s,eligible_late_windows,median_late_A80_percentage_points,late_A80_CV_percent
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.19,-0.1,50,2.7674904435283434,14.252706764129751
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.19,0.0,50,2.823731346832396,14.048266000866548
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.19,0.1,50,2.8806182204175457,14.448731029847785
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.2,-0.1,49,2.8064362548220636,13.800951802607536
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.2,0.0,50,2.812364649201884,13.873443853909082
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.2,0.1,49,2.7587690687296096,14.802073769862181
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.21,-0.1,48,2.7808029945060007,14.730960927585492
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.21,0.0,48,2.7891273192421213,14.975350455962953
Phase3 inward,Grid80_R1,Phase 3 master sheet.xlsx,1.21,0.1,48,2.7979991604837746,13.613736973766287
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.19,-0.1,50,5.094002105148595,19.306193260811707
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.19,0.0,50,5.165612724512139,20.26664075023643
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.19,0.1,50,5.067927041757596,20.54543939417507
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.2,-0.1,49,5.149046115646361,19.865156838576763
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.2,0.0,50,5.145815397231721,20.18990403803535
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.2,0.1,49,5.1885624098054155,18.602428724054164
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.21,-0.1,48,5.160690304871284,17.339616371397373
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.21,0.0,48,5.12908775398425,16.910437174852312
Phase3 inward,Grid80_R2,Phase 3 master sheet.xlsx,1.21,0.1,48,5.165612724512139,17.312429226893876
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.19,-0.1,50,9.054931797754836,11.95737206313874
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.19,0.0,50,9.032910651535818,11.108655250121329
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.19,0.1,50,9.032910651535818,12.578281467875478
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.2,-0.1,49,8.9811971852039,11.469763430993078
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.2,0.0,50,8.917458715066514,13.282939937979442
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.2,0.1,49,9.095243097123875,12.484066674379413
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.21,-0.1,48,9.004401819182622,12.454043754176993
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.21,0.0,48,9.045482099591972,12.909459107142103
Phase3 inward,Grid80_R3,Phase 3 master sheet.xlsx,1.21,0.1,48,9.047848012515825,12.856614593877001
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.19,-0.1,50,14.170314260146114,26.525155014038063
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.19,0.0,50,13.68230263618166,25.384224094475197
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.19,0.1,50,13.447788615779858,26.562146869819284
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.2,-0.1,49,13.56577661704352,28.681086234500594
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.2,0.0,50,13.32623650460383,25.165811868022757
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.2,0.1,49,13.582197468745505,24.2436773822823
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.21,-0.1,48,13.885813060272394,27.27540233638029
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.21,0.0,48,13.24133234912678,24.304505323683678
Phase3 inward,Rect80_R1,Phase 3 master sheet.xlsx,1.21,0.1,48,13.896457384175687,25.27260331391072
Phase3 inward,Rect80_R2,Phase 3 master sheet.xlsx,1.19,-0.1,50,7.202761656040375,25.8495366244962
Phase3 inward,Rect80_R2,Phase 3 master sheet.xlsx,1.19,0.0,50,7.085664530710904,24.22886015599566
Phase3 inward,Rect80_R2,Phase 3 master sheet.xlsx,1.19,0.1,50,7.178485179432725,23.67264086504095
Phase3 inward,Rect80_R2,Phase 3 master sheet.xlsx,1.2,-0.1,49,7.371387143763595,23.29597881726051
Phase3 inward,Rect80_R2,Phase 3 master sheet.xlsx,1.2,0.0,50,7.29052126195141,22.61872545265579
Phase3 inward,Rect80_R2,Phase 3 master sheet.xlsx,1.2,0.1,49,7.349795732801482,22.167877891436508
