host_elapsed_s,esp32_ms,elapsed_s,adc1,R_ohm,R_kOhm,R0_ohm,dR_R0
0.258105,5,0.0,4095,,,5486.410923,
0.520706,1959,1.954,2573,5578.777924,5.578777924,5486.410923,0.016835596
0.598464,2009,2.004,2579,5613.918206,5.613918206,5486.410923,0.023240564
0.598667,2059,2.054,2562,5515.068493,5.515068493,5486.410923,0.005223373
0.598861,2109,2.104,2565,5532.352941,5.532352941,5486.410923,0.008373784
0.599057,2159,2.154,2555,5475.0,5.475,5486.410923,-0.002079852
0.59925,2209,2.204,2565,5532.352941,5.532352941,5486.410923,0.008373784
0.599446,2259,2.254,2558,5492.127521,5.492127521,5486.410923,0.001041956
0.599641,2309,2.304,2563,5520.822454,5.520822454,5486.410923,0.006272139
0.599834,2359,2.354,2556,5480.701754,5.480701754,5486.410923,-0.001040602
0.600026,2409,2.404,2562,5515.068493,5.515068493,5486.410923,0.005223373
0.600219,2459,2.454,2557,5486.410923,5.486410923,5486.410923,0.0
0.605973,2509,2.504,2569,5555.504587,5.555504587,5486.410923,0.0125936
0.655945,2559,2.554,2559,5497.851562,5.497851563,5486.410923,0.002085268
0.720276,2609,2.604,2559,5497.851562,5.497851563,5486.410923,0.002085268
0.755941,2659,2.654,2568,5549.705305,5.549705305,5486.410923,0.011536573
0.806011,2709,2.704,2559,5497.851562,5.497851563,5486.410923,0.002085268
0.856303,2759,2.754,2565,5532.352941,5.532352941,5486.410923,0.008373784
0.905943,2809,2.804,2562,5515.068493,5.515068493,5486.410923,0.005223373
0.956176,2859,2.854,2565,5532.352941,5.532352941,5486.410923,0.008373784
1.030465,2909,2.904,2560,5503.583062,5.503583062,5486.410923,0.00312994
1.056032,2959,2.954,2552,5457.93908,5.45793908,5486.410923,-0.005189521
1.105982,3009,3.004,2555,5475.0,5.475,5486.410923,-0.002079852
1.156081,3059,3.054,2557,5486.410923,5.486410923,5486.410923,0.0
1.206072,3109,3.104,2556,5480.701754,5.480701754,5486.410923,-0.001040602
1.256501,3159,3.154,2552,5457.93908,5.45793908,5486.410923,-0.005189521
1.305987,3209,3.204,2558,5492.127521,5.492127521,5486.410923,0.001041956
1.355954,3259,3.254,2557,5486.410923,5.486410923,5486.410923,0.0
1.406003,3309,3.304,2558,5492.127521,5.492127521,5486.410923,0.001041956
1.456076,3359,3.354,2555,5475.0,5.475,5486.410923,-0.002079852
1.512809,3409,3.404,2553,5463.618677,5.463618677,5486.410923,-0.004154309
1.555994,3459,3.454,2569,5555.504587,5.555504587,5486.410923,0.0125936
1.605965,3509,3.504,2565,5532.352941,5.532352941,5486.410923,0.008373784
1.655984,3559,3.554,2558,5492.127521,5.492127521,5486.410923,0.001041956
1.70605,3609,3.604,2557,5486.410923,5.486410923,5486.410923,0.0
1.756003,3659,3.654,2563,5520.822454,5.520822454,5486.410923,0.006272139
1.805966,3709,3.704,2558,5492.127521,5.492127521,5486.410923,0.001041956
1.855974,3759,3.754,2553,5463.618677,5.463618677,5486.410923,-0.004154309
1.923549,3809,3.804,2557,5486.410923,5.486410923,5486.410923,0.0
1.955974,3859,3.854,2558,5492.127521,5.492127521,5486.410923,0.001041956
2.006019,3909,3.904,2551,5452.266839,5.452266839,5486.410923,-0.006223392
2.056004,3959,3.954,2542,5401.545396,5.401545396,5486.410923,-0.015468314
2.107761,4009,4.004,2543,5407.152062,5.407152062,5486.410923,-0.014446395
2.155958,4059,4.054,2540,5390.353698,5.390353698,5486.410923,-0.017508208
2.206032,4109,4.104,2566,5538.129496,5.538129496,5486.410923,0.009426668
2.255967,4159,4.154,2549,5440.944373,5.440944373,5486.410923,-0.008287121
2.306034,4209,4.204,2551,5452.266839,5.452266839,5486.410923,-0.006223392
2.355949,4259,4.254,2552,5457.93908,5.45793908,5486.410923,-0.005189521
2.405999,4309,4.304,2545,5418.387097,5.418387097,5486.410923,-0.012398602
2.45606,4359,4.354,2551,5452.266839,5.452266839,5486.410923,-0.006223392
2.509043,4409,4.404,2551,5452.266839,5.452266839,5486.410923,-0.006223392
2.556063,4459,4.454,2555,5475.0,5.475,5486.410923,-0.002079852
2.605978,4509,4.504,2552,5457.93908,5.45793908,5486.410923,-0.005189521
2.655976,4559,4.554,2557,5486.410923,5.486410923,5486.410923,0.0
2.705981,4609,4.604,2561,5509.322034,5.509322034,5486.410923,0.004175974
2.755958,4659,4.654,2560,5503.583062,5.503583062,5486.410923,0.00312994
2.805969,4709,4.704,2551,5452.266839,5.452266839,5486.410923,-0.006223392
2.856028,4759,4.754,2557,5486.410923,5.486410923,5486.410923,0.0
2.905952,4809,4.804,2557,5486.410923,5.486410923,5486.410923,0.0
2.956017,4859,4.854,2561,5509.322034,5.509322034,5486.410923,0.004175974
3.005969,4909,4.904,2553,5463.618677,5.463618677,5486.410923,-0.004154309
3.055964,4959,4.954,2560,5503.583062,5.503583062,5486.410923,0.00312994
3.106055,5009,5.004,2546,5424.015494,5.424015494,5486.410923,-0.011372723
3.157309,5059,5.054,2548,5435.294118,5.435294118,5486.410923,-0.009316985
3.206016,5109,5.104,2571,5567.125984,5.567125984,5486.410923,0.014711815
3.256045,5159,5.154,2580,5619.80198,5.61980198,5486.410923,0.024312991
3.305987,5209,5.204,2552,5457.93908,5.45793908,5486.410923,-0.005189521
3.356052,5259,5.254,2555,5475.0,5.475,5486.410923,-0.002079852
3.408401,5309,5.304,2552,5457.93908,5.45793908,5486.410923,-0.005189521
3.456075,5359,5.354,2558,5492.127521,5.492127521,5486.410923,0.001041956
3.506,5409,5.404,2558,5492.127521,5.492127521,5486.410923,0.001041956
3.555992,5459,5.454,2558,5492.127521,5.492127521,5486.410923,0.001041956
3.605984,5509,5.504,2552,5457.93908,5.45793908,5486.410923,-0.005189521
3.658435,5559,5.554,2557,5486.410923,5.486410923,5486.410923,0.0
3.706051,5609,5.604,2549,5440.944373,5.440944373,5486.410923,-0.008287121
3.756008,5659,5.654,2559,5497.851562,5.497851563,5486.410923,0.002085268
3.806022,5709,5.704,2561,5509.322034,5.509322034,5486.410923,0.004175974
3.855992,5759,5.754,2557,5486.410923,5.486410923,5486.410923,0.0
3.908896,5809,5.804,2565,5532.352941,5.532352941,5486.410923,0.008373784
3.956046,5859,5.854,2557,5486.410923,5.486410923,5486.410923,0.0
4.00597,5909,5.904,2558,5492.127521,5.492127521,5486.410923,0.001041956
4.056049,5959,5.954,2558,5492.127521,5.492127521,5486.410923,0.001041956
4.106046,6009,6.004,2558,5492.127521,5.492127521,5486.410923,0.001041956
4.161473,6059,6.054,2559,5497.851562,5.497851563,5486.410923,0.002085268
4.206013,6109,6.104,2558,5492.127521,5.492127521,5486.410923,0.001041956
4.255997,6159,6.154,2551,5452.266839,5.452266839,5486.410923,-0.006223392
4.306024,6209,6.204,2559,5497.851562,5.497851563,5486.410923,0.002085268
4.356066,6259,6.254,2550,5446.601942,5.446601942,5486.410923,-0.007255924
4.413457,6309,6.304,2551,5452.266839,5.452266839,5486.410923,-0.006223392
