Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0001"
"0.0270","0.0000","-0.0001"
"0.0470","0.0000","0.0000"
"0.0670","0.0000","0.0000"
"0.0870","0.0000","0.0000"
"0.1070","0.0001","0.0000"
"0.1270","0.0002","0.0000"
"0.1470","0.0003","0.0000"
"0.1670","0.0004","0.0000"
"0.1870","0.0004","0.0000"
"0.2070","0.0005","0.0000"
"0.2270","0.0008","0.0000"
"0.2470","0.0013","0.0000"
"0.2670","0.0019","0.0000"
"0.2870","0.0025","0.0000"
"0.3070","0.0029","0.0000"
"0.3270","0.0032","0.0000"
"0.3470","0.0035","-0.0001"
"0.3670","0.0038","0.0000"
"0.3870","0.0041","-0.0001"
"0.4070","0.0045","0.0000"
"0.4270","0.0049","0.0000"
"0.4470","0.0054","0.0000"
"0.4670","0.0058","0.0000"
"0.4870","0.0063","0.0000"
"0.5070","0.0066","0.0000"
"0.5270","0.0068","0.0001"
"0.5470","0.0071","0.0000"
"0.5670","0.0074","0.0000"
"0.5870","0.0078","0.0000"
"0.6070","0.0082","0.0001"
"0.6270","0.0085","0.0001"
"0.6470","0.0089","0.0001"
"0.6670","0.0092","0.0000"
"0.6870","0.0094","0.0000"
"0.7070","0.0096","0.0000"
"0.7270","0.0099","0.0000"
"0.7470","0.0102","0.0001"
"0.7670","0.0105","0.0001"
"0.7870","0.0110","0.0000"
"0.8070","0.0114","0.0000"
"0.8270","0.0119","0.0000"
"0.8470","0.0122","0.0000"
"0.8670","0.0126","0.0001"
"0.8870","0.0129","0.0001"
"0.9070","0.0132","0.0002"
"0.9270","0.0135","0.0002"
"0.9470","0.0138","0.0001"
"0.9670","0.0141","0.0001"
"0.9870","0.0144","0.0001"
"1.0070","0.0147","0.0001"
"1.0270","0.0150","0.0001"
"1.0470","0.0152","0.0002"
"1.0670","0.0155","0.0002"
"1.0870","0.0159","0.0002"
"1.1070","0.0163","0.0001"
"1.1270","0.0168","0.0001"
"1.1470","0.0172","0.0001"
"1.1670","0.0176","0.0001"
"1.1870","0.0179","0.0001"
"1.2070","0.0182","0.0002"
"1.2270","0.0184","0.0002"
"1.2470","0.0187","0.0002"
"1.2670","0.0190","0.0001"
"1.2870","0.0194","0.0000"
"1.3070","0.0198","0.0000"
"1.3270","0.0202","0.0000"
"1.3470","0.0205","0.0001"
"1.3670","0.0207","0.0002"
"1.3870","0.0209","0.0002"
"1.4070","0.0212","0.0001"
"1.4270","0.0215","0.0002"
"1.4470","0.0218","0.0002"
"1.4670","0.0222","0.0002"
"1.4870","0.0227","0.0001"
"1.5070","0.0231","0.0001"
"1.5270","0.0236","0.0002"
"1.5470","0.0240","0.0002"
"1.5670","0.0243","0.0002"
"1.5870","0.0246","0.0002"
"1.6070","0.0249","0.0002"
"1.6270","0.0252","0.0002"
"1.6470","0.0255","0.0002"
"1.6670","0.0258","0.0002"
"1.6870","0.0261","0.0002"
"1.7070","0.0263","0.0001"
"1.7270","0.0266","0.0002"
"1.7470","0.0269","0.0001"
"1.7670","0.0272","0.0002"
"1.7870","0.0276","0.0002"
"1.8070","0.0280","0.0002"
"1.8270","0.0285","0.0002"
"1.8470","0.0289","0.0002"
"1.8670","0.0293","0.0002"
"1.8870","0.0296","0.0001"
"1.9070","0.0298","0.0002"
"1.9270","0.0300","0.0002"
"1.9470","0.0303","0.0003"
"1.9670","0.0307","0.0001"
"1.9870","0.0311","0.0001"
"2.0070","0.0315","0.0001"
"2.0270","0.0318","0.0002"
"2.0470","0.0321","0.0002"
"2.0670","0.0324","0.0003"
"2.0870","0.0326","0.0002"
"2.1070","0.0329","0.0002"
"2.1270","0.0332","0.0002"
"2.1470","0.0335","0.0003"
"2.1670","0.0340","0.0003"
"2.1870","0.0344","0.0003"
"2.2070","0.0349","0.0003"
"2.2270","0.0353","0.0002"
"2.2470","0.0356","0.0002"
"2.2670","0.0359","0.0002"
"2.2870","0.0362","0.0002"
"2.3070","0.0365","0.0003"
