Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0001"
"0.0280","0.0000","0.0001"
"0.0480","0.0000","0.0000"
"0.0680","0.0000","-0.0001"
"0.0880","0.0000","0.0000"
"0.1080","0.0001","0.0001"
"0.1280","0.0002","0.0000"
"0.1480","0.0004","-0.0001"
"0.1680","0.0004","-0.0001"
"0.1880","0.0005","0.0000"
"0.2080","0.0006","0.0000"
"0.2280","0.0010","0.0000"
"0.2480","0.0015","0.0000"
"0.2680","0.0021","0.0000"
"0.2880","0.0026","0.0000"
"0.3080","0.0029","0.0000"
"0.3280","0.0032","0.0000"
"0.3480","0.0035","0.0000"
"0.3680","0.0038","0.0001"
"0.3880","0.0042","0.0001"
"0.4080","0.0047","0.0000"
"0.4280","0.0052","0.0000"
"0.4480","0.0057","0.0000"
"0.4680","0.0060","0.0000"
"0.4880","0.0063","-0.0001"
"0.5080","0.0066","0.0000"
"0.5280","0.0068","0.0001"
"0.5480","0.0072","0.0002"
"0.5680","0.0075","0.0001"
"0.5880","0.0079","0.0000"
"0.6080","0.0083","0.0001"
"0.6280","0.0086","0.0000"
"0.6480","0.0089","0.0000"
"0.6680","0.0091","0.0001"
"0.6880","0.0093","0.0001"
"0.7080","0.0096","0.0001"
"0.7280","0.0100","0.0002"
"0.7480","0.0104","0.0001"
"0.7680","0.0108","0.0002"
"0.7880","0.0113","0.0001"
"0.8080","0.0117","0.0001"
"0.8280","0.0121","0.0001"
"0.8480","0.0124","0.0001"
"0.8680","0.0127","0.0001"
"0.8880","0.0129","0.0000"
"0.9080","0.0133","0.0000"
"0.9280","0.0136","0.0001"
"0.9480","0.0139","0.0001"
"0.9680","0.0142","0.0002"
"0.9880","0.0144","0.0001"
"1.0080","0.0147","0.0002"
"1.0280","0.0150","0.0001"
"1.0480","0.0153","0.0001"
"1.0680","0.0157","0.0001"
"1.0880","0.0162","0.0001"
"1.1080","0.0167","0.0001"
"1.1280","0.0171","0.0001"
"1.1480","0.0174","0.0001"
"1.1680","0.0177","0.0001"
"1.1880","0.0179","0.0001"
"1.2080","0.0182","0.0002"
"1.2280","0.0185","0.0002"
"1.2480","0.0189","0.0002"
"1.2680","0.0193","0.0002"
"1.2880","0.0197","0.0001"
"1.3080","0.0200","0.0002"
"1.3280","0.0202","0.0001"
"1.3480","0.0205","0.0001"
"1.3680","0.0207","0.0001"
"1.3880","0.0210","0.0001"
"1.4080","0.0213","0.0002"
"1.4280","0.0216","0.0003"
"1.4480","0.0220","0.0002"
"1.4680","0.0225","0.0002"
"1.4880","0.0230","0.0002"
"1.5080","0.0234","0.0002"
"1.5280","0.0237","0.0002"
"1.5480","0.0241","0.0001"
"1.5680","0.0244","0.0002"
"1.5880","0.0247","0.0002"
"1.6080","0.0250","0.0001"
"1.6280","0.0253","0.0001"
"1.6480","0.0256","0.0002"
"1.6680","0.0258","0.0002"
"1.6880","0.0261","0.0002"
"1.7080","0.0264","0.0002"
"1.7280","0.0267","0.0002"
"1.7480","0.0270","0.0002"
"1.7680","0.0275","0.0002"
"1.7880","0.0280","0.0002"
"1.8080","0.0284","0.0002"
"1.8280","0.0288","0.0002"
"1.8480","0.0291","0.0002"
"1.8680","0.0293","0.0003"
"1.8880","0.0296","0.0003"
"1.9080","0.0298","0.0003"
"1.9280","0.0302","0.0003"
"1.9480","0.0305","0.0002"
"1.9680","0.0309","0.0002"
"1.9880","0.0313","0.0003"
"2.0080","0.0316","0.0003"
"2.0280","0.0318","0.0002"
"2.0480","0.0320","0.0002"
"2.0680","0.0323","0.0002"
"2.0880","0.0326","0.0003"
"2.1080","0.0330","0.0004"
"2.1280","0.0334","0.0003"
"2.1480","0.0339","0.0003"
"2.1680","0.0344","0.0003"
"2.1880","0.0348","0.0002"
"2.2080","0.0352","0.0003"
"2.2280","0.0354","0.0003"
"2.2480","0.0357","0.0003"
"2.2680","0.0360","0.0003"
"2.2880","0.0363","0.0003"
"2.3080","0.0366","0.0002"
