host_elapsed_s,esp32_ms,elapsed_s,adc1,R_ohm,R_kOhm,R0_ohm,dR_R0
0.245506,5,0.0,4095,,,6450.0,
0.506492,1959,1.954,2726,6571.073776,6.571073776,6450.0,0.018771128
0.588958,2009,2.004,2784,7007.78032,7.00778032,6450.0,0.086477569
0.589164,2059,2.054,2723,6549.489796,6.549489796,6450.0,0.015424775
0.589358,2109,2.104,2742,6687.804878,6.687804878,6450.0,0.036868973
0.58955,2159,2.154,2738,6658.364038,6.658364038,6450.0,0.032304502
0.589742,2209,2.204,2821,7307.142857,7.307142857,6450.0,0.132890365
0.589935,2259,2.254,2862,7659.854015,7.659854015,6450.0,0.187574266
0.590128,2309,2.304,2814,7249.180328,7.249180328,6450.0,0.123903927
0.590322,2359,2.354,2801,7143.199382,7.143199382,6450.0,0.107472772
0.590513,2409,2.404,2792,7071.066769,7.071066769,6450.0,0.096289422
0.590697,2459,2.454,2753,6769.672131,6.769672131,6450.0,0.049561571
0.609154,2509,2.504,2761,6830.05997,6.83005997,6450.0,0.058924026
0.669515,2559,2.554,2722,6542.316096,6.542316096,6450.0,0.014312573
0.709184,2609,2.604,2760,6822.47191,6.82247191,6450.0,0.057747583
0.759106,2659,2.654,2742,6687.804878,6.687804878,6450.0,0.036868973
0.809211,2709,2.704,2746,6717.420311,6.717420311,6450.0,0.041460513
0.870148,2759,2.754,2718,6513.72549,6.51372549,6450.0,0.009879921
0.909106,2809,2.804,2717,6506.603774,6.506603774,6450.0,0.008775779
0.95909,2859,2.854,2760,6822.47191,6.82247191,6450.0,0.057747583
1.009157,2909,2.904,2735,6636.397059,6.636397059,6450.0,0.028898769
1.059141,2959,2.954,2733,6621.806167,6.621806167,6450.0,0.026636615
1.109319,3009,3.004,2740,6673.062731,6.673062731,6450.0,0.034583369
1.159179,3059,3.054,2735,6636.397059,6.636397059,6450.0,0.028898769
1.209245,3109,3.104,2717,6506.603774,6.506603774,6450.0,0.008775779
1.259269,3159,3.154,2735,6636.397059,6.636397059,6450.0,0.028898769
1.309256,3209,3.204,2716,6499.492386,6.499492386,6450.0,0.007673238
1.359212,3259,3.254,2709,6450.0,6.45,6450.0,0.0
1.409156,3309,3.304,2718,6513.72549,6.51372549,6450.0,0.009879921
1.459134,3359,3.354,2709,6450.0,6.45,6450.0,0.0
