Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0320","0.0000","0.0000"
"0.0520","0.0000","0.0000"
"0.0720","0.0000","0.0000"
"0.0920","0.0000","0.0000"
"0.1120","0.0001","0.0001"
"0.1320","0.0003","0.0001"
"0.1520","0.0004","0.0000"
"0.1720","0.0005","0.0000"
"0.1920","0.0005","-0.0001"
"0.2120","0.0007","0.0000"
"0.2320","0.0010","0.0001"
"0.2520","0.0015","0.0001"
"0.2720","0.0021","0.0000"
"0.2920","0.0027","0.0000"
"0.3120","0.0032","0.0000"
"0.3320","0.0037","-0.0001"
"0.3520","0.0041","-0.0001"
"0.3720","0.0044","0.0000"
"0.3920","0.0047","0.0001"
"0.4120","0.0050","0.0001"
"0.4320","0.0054","0.0000"
"0.4520","0.0058","0.0001"
"0.4720","0.0061","0.0001"
"0.4920","0.0064","0.0001"
"0.5120","0.0066","0.0001"
"0.5320","0.0069","0.0001"
"0.5520","0.0071","0.0001"
"0.5720","0.0075","0.0001"
"0.5920","0.0078","0.0001"
"0.6120","0.0082","0.0001"
"0.6320","0.0086","0.0001"
"0.6520","0.0091","0.0001"
"0.6720","0.0095","0.0001"
"0.6920","0.0098","0.0000"
"0.7120","0.0101","0.0000"
"0.7320","0.0105","0.0000"
"0.7520","0.0108","0.0001"
"0.7720","0.0111","0.0001"
"0.7920","0.0114","0.0001"
"0.8120","0.0117","0.0001"
"0.8320","0.0120","0.0001"
"0.8520","0.0122","0.0001"
"0.8720","0.0125","0.0001"
"0.8920","0.0128","0.0001"
"0.9120","0.0131","0.0001"
"0.9320","0.0135","0.0001"
"0.9520","0.0140","0.0000"
"0.9720","0.0145","0.0001"
"0.9920","0.0150","0.0001"
"1.0120","0.0153","0.0001"
"1.0320","0.0156","0.0001"
"1.0520","0.0158","0.0001"
"1.0720","0.0160","0.0001"
"1.0920","0.0163","0.0001"
"1.1120","0.0167","0.0002"
"1.1320","0.0171","0.0002"
"1.1520","0.0175","0.0002"
"1.1720","0.0178","0.0002"
"1.1920","0.0180","0.0001"
"1.2120","0.0182","0.0000"
"1.2320","0.0185","0.0001"
"1.2520","0.0188","0.0002"
"1.2720","0.0191","0.0002"
"1.2920","0.0194","0.0002"
"1.3120","0.0199","0.0002"
"1.3320","0.0204","0.0002"
"1.3520","0.0208","0.0002"
"1.3720","0.0212","0.0002"
"1.3920","0.0216","0.0002"
"1.4120","0.0219","0.0002"
"1.4320","0.0222","0.0002"
"1.4520","0.0225","0.0001"
"1.4720","0.0228","0.0001"
"1.4920","0.0231","0.0002"
"1.5120","0.0234","0.0002"
"1.5320","0.0236","0.0002"
"1.5520","0.0239","0.0002"
"1.5720","0.0242","0.0002"
"1.5920","0.0245","0.0002"
"1.6120","0.0249","0.0002"
"1.6320","0.0253","0.0002"
"1.6520","0.0258","0.0003"
"1.6720","0.0263","0.0002"
"1.6920","0.0266","0.0002"
"1.7120","0.0269","0.0002"
"1.7320","0.0271","0.0001"
"1.7520","0.0274","0.0002"
"1.7720","0.0277","0.0002"
"1.7920","0.0280","0.0002"
"1.8120","0.0284","0.0003"
"1.8320","0.0288","0.0002"
"1.8520","0.0291","0.0003"
"1.8720","0.0294","0.0002"
"1.8920","0.0296","0.0001"
"1.9120","0.0299","0.0002"
"1.9320","0.0301","0.0001"
"1.9520","0.0304","0.0001"
"1.9720","0.0308","0.0002"
"1.9920","0.0312","0.0002"
"2.0120","0.0317","0.0002"
"2.0320","0.0322","0.0002"
"2.0520","0.0326","0.0003"
"2.0720","0.0329","0.0003"
"2.0920","0.0333","0.0002"
"2.1120","0.0335","0.0002"
"2.1320","0.0338","0.0002"
"2.1520","0.0341","0.0003"
"2.1720","0.0345","0.0003"
"2.1920","0.0348","0.0003"
"2.2120","0.0350","0.0004"
"2.2320","0.0352","0.0004"
"2.2520","0.0355","0.0003"
"2.2720","0.0358","0.0002"
"2.2920","0.0361","0.0003"
"2.3120","0.0365","0.0004"
