Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0400","0.0000","-0.0001"
"0.0410","0.0000","-0.0001"
"0.0610","0.0000","-0.0001"
"0.0810","0.0000","-0.0001"
"0.1010","0.0000","0.0001"
"0.1210","0.0001","0.0001"
"0.1410","0.0002","0.0001"
"0.1610","0.0004","0.0000"
"0.1810","0.0004","0.0000"
"0.2010","0.0005","0.0000"
"0.2210","0.0005","0.0000"
"0.2410","0.0007","0.0000"
"0.2610","0.0010","0.0000"
"0.2810","0.0016","0.0001"
"0.3010","0.0023","0.0000"
"0.3210","0.0028","0.0000"
"0.3410","0.0033","0.0001"
"0.3610","0.0038","0.0000"
"0.3810","0.0042","0.0000"
"0.4010","0.0044","0.0000"
"0.4210","0.0047","0.0000"
"0.4410","0.0049","0.0000"
"0.4610","0.0052","0.0000"
"0.4810","0.0055","0.0000"
"0.5010","0.0059","0.0001"
"0.5210","0.0064","0.0001"
"0.5410","0.0068","0.0001"
"0.5610","0.0073","0.0002"
"0.5810","0.0077","0.0002"
"0.6010","0.0080","0.0001"
"0.6210","0.0083","0.0001"
"0.6410","0.0087","0.0001"
"0.6610","0.0090","0.0001"
"0.6810","0.0093","0.0001"
"0.7010","0.0096","0.0001"
"0.7210","0.0098","0.0001"
"0.7410","0.0101","0.0001"
"0.7610","0.0103","0.0001"
"0.7810","0.0106","0.0001"
"0.8010","0.0109","0.0001"
"0.8210","0.0113","0.0001"
"0.8410","0.0118","0.0001"
"0.8610","0.0123","0.0001"
"0.8810","0.0128","0.0001"
"0.9010","0.0131","0.0001"
"0.9210","0.0134","0.0001"
"0.9410","0.0136","0.0001"
"0.9610","0.0138","0.0001"
"0.9810","0.0141","0.0001"
"1.0010","0.0144","0.0001"
"1.0210","0.0148","0.0002"
"1.0410","0.0152","0.0002"
"1.0610","0.0156","0.0002"
"1.0810","0.0158","0.0001"
"1.1010","0.0161","0.0000"
"1.1210","0.0163","0.0001"
"1.1410","0.0166","0.0001"
"1.1610","0.0169","0.0001"
"1.1810","0.0172","0.0002"
"1.2010","0.0177","0.0002"
"1.2210","0.0181","0.0002"
"1.2410","0.0186","0.0002"
"1.2610","0.0190","0.0003"
"1.2810","0.0194","0.0002"
"1.3010","0.0197","0.0002"
"1.3210","0.0200","0.0001"
"1.3410","0.0203","0.0001"
"1.3610","0.0206","0.0002"
"1.3810","0.0209","0.0002"
"1.4010","0.0212","0.0002"
"1.4210","0.0215","0.0002"
"1.4410","0.0217","0.0002"
"1.4610","0.0220","0.0002"
"1.4810","0.0223","0.0002"
"1.5010","0.0226","0.0002"
"1.5210","0.0230","0.0001"
"1.5410","0.0235","0.0002"
"1.5610","0.0239","0.0002"
"1.5810","0.0244","0.0002"
"1.6010","0.0247","0.0002"
"1.6210","0.0250","0.0001"
"1.6410","0.0252","0.0002"
"1.6610","0.0255","0.0003"
"1.6810","0.0258","0.0003"
"1.7010","0.0262","0.0002"
"1.7210","0.0266","0.0001"
"1.7410","0.0270","0.0002"
"1.7610","0.0272","0.0002"
"1.7810","0.0275","0.0002"
"1.8010","0.0277","0.0002"
"1.8210","0.0279","0.0003"
"1.8410","0.0282","0.0003"
"1.8610","0.0286","0.0003"
"1.8810","0.0290","0.0002"
"1.9010","0.0294","0.0002"
"1.9210","0.0299","0.0002"
"1.9410","0.0303","0.0002"
"1.9610","0.0307","0.0002"
"1.9810","0.0310","0.0002"
"2.0010","0.0313","0.0002"
"2.0210","0.0316","0.0002"
"2.0410","0.0319","0.0002"
"2.0610","0.0322","0.0002"
"2.0810","0.0325","0.0003"
"2.1010","0.0328","0.0003"
"2.1210","0.0330","0.0003"
"2.1410","0.0333","0.0002"
"2.1610","0.0336","0.0002"
"2.1810","0.0339","0.0003"
"2.2010","0.0343","0.0003"
"2.2210","0.0347","0.0002"
"2.2410","0.0352","0.0002"
"2.2610","0.0357","0.0002"
"2.2810","0.0361","0.0002"
"2.3010","0.0364","0.0003"
