host_elapsed_s,esp32_ms,elapsed_s,adc1,R_ohm,R_kOhm,R0_ohm,dR_R0
0.247463,5,0.0,4095,,,4141.354626,
0.502248,1959,1.954,2282,4153.667954,4.153667954,4141.354626,0.002973261
0.583726,2009,2.004,2283,4157.781457,4.157781457,4141.354626,0.003966536
0.583926,2059,2.054,2276,4129.081913,4.129081913,4141.354626,-0.002963454
0.584118,2109,2.104,2273,4116.849616,4.116849616,4141.354626,-0.005917148
0.584302,2159,2.154,2282,4153.667954,4.153667954,4141.354626,0.002973261
0.584487,2209,2.204,2287,4174.280973,4.174280973,4141.354626,0.007950623
0.584675,2259,2.254,2281,4149.558986,4.149558986,4141.354626,0.001981081
0.584861,2309,2.304,2278,4137.259218,4.137259218,4141.354626,-0.000988905
0.585049,2359,2.354,2283,4157.781457,4.157781457,4141.354626,0.003966536
0.585237,2409,2.404,2279,4141.354626,4.141354626,4141.354626,0.0
0.585422,2459,2.454,2279,4141.354626,4.141354626,4141.354626,0.0
0.608,2509,2.504,2280,4145.454545,4.145454545,4141.354626,0.000989995
0.666123,2559,2.554,2279,4141.354626,4.141354626,4141.354626,0.0
0.70805,2609,2.604,2282,4153.667954,4.153667954,4141.354626,0.002973261
0.75805,2659,2.654,2272,4112.78113,4.11278113,4141.354626,-0.006899553
0.808023,2709,2.704,2282,4153.667954,4.153667954,4141.354626,0.002973261
0.858558,2759,2.754,2281,4149.558986,4.149558986,4141.354626,0.001981081
1.041127,2809,2.804,2278,4137.259218,4.137259218,4141.354626,-0.000988905
1.199013,2859,2.854,2275,4125.0,4.125,4141.354626,-0.0039491
1.241084,2909,2.904,2279,4141.354626,4.141354626,4141.354626,0.0
1.241271,2959,2.954,2278,4137.259218,4.137259218,4141.354626,-0.000988905
1.241452,3009,3.004,2276,4129.081913,4.129081913,4141.354626,-0.002963454
1.241633,3059,3.054,2263,4076.364629,4.076364629,4141.354626,-0.015692932
1.241814,3109,3.104,2278,4137.259218,4.137259218,4141.354626,-0.000988905
1.257997,3159,3.154,2274,4120.92257,4.12092257,4141.354626,-0.004933665
1.307999,3209,3.204,2270,4104.657534,4.104657534,4141.354626,-0.008861132
1.362509,3259,3.254,2277,4133.168317,4.133168317,4141.354626,-0.001976722
1.409538,3309,3.304,2278,4137.259218,4.137259218,4141.354626,-0.000988905
1.458049,3359,3.354,2281,4149.558986,4.149558986,4141.354626,0.001981081
1.508064,3409,3.404,2277,4133.168317,4.133168317,4141.354626,-0.001976722
1.558073,3459,3.454,2286,4170.149254,4.170149254,4141.354626,0.006952949
1.617972,3509,3.504,2271,4108.717105,4.108717105,4141.354626,-0.00788088
1.658085,3559,3.554,2276,4129.081913,4.129081913,4141.354626,-0.002963454
1.708081,3609,3.604,2280,4145.454545,4.145454545,4141.354626,0.000989995
1.758146,3659,3.654,2272,4112.78113,4.11278113,4141.354626,-0.006899553
1.808106,3709,3.704,2283,4157.781457,4.157781457,4141.354626,0.003966536
1.858069,3759,3.754,2279,4141.354626,4.141354626,4141.354626,0.0
1.908104,3809,3.804,2280,4145.454545,4.145454545,4141.354626,0.000989995
1.983425,3859,3.854,2280,4145.454545,4.145454545,4141.354626,0.000989995
2.00801,3909,3.904,2278,4137.259218,4.137259218,4141.354626,-0.000988905
2.05811,3959,3.954,2283,4157.781457,4.157781457,4141.354626,0.003966536
2.108104,4009,4.004,2281,4149.558986,4.149558986,4141.354626,0.001981081
2.158082,4059,4.054,2284,4161.899503,4.161899503,4141.354626,0.004960908
2.208,4109,4.104,2282,4153.667954,4.153667954,4141.354626,0.002973261
2.282931,4159,4.154,2284,4161.899503,4.161899503,4141.354626,0.004960908
2.308128,4209,4.204,2270,4104.657534,4.104657534,4141.354626,-0.008861132
2.358066,4259,4.254,2271,4108.717105,4.108717105,4141.354626,-0.00788088
2.408083,4309,4.304,2282,4153.667954,4.153667954,4141.354626,0.002973261
2.458062,4359,4.354,2281,4149.558986,4.149558986,4141.354626,0.001981081
2.509297,4409,4.404,2283,4157.781457,4.157781457,4141.354626,0.003966536
2.558102,4459,4.454,2279,4141.354626,4.141354626,4141.354626,0.0
2.608079,4509,4.504,2282,4153.667954,4.153667954,4141.354626,0.002973261
2.658104,4559,4.554,2279,4141.354626,4.141354626,4141.354626,0.0
2.70807,4609,4.604,2273,4116.849616,4.116849616,4141.354626,-0.005917148
2.75808,4659,4.654,2275,4125.0,4.125,4141.354626,-0.0039491
2.808098,4709,4.704,2280,4145.454545,4.145454545,4141.354626,0.000989995
2.858113,4759,4.754,2284,4161.899503,4.161899503,4141.354626,0.004960908
2.908084,4809,4.804,2286,4170.149254,4.170149254,4141.354626,0.006952949
2.9581,4859,4.854,2274,4120.92257,4.12092257,4141.354626,-0.004933665
3.00929,4909,4.904,2279,4141.354626,4.141354626,4141.354626,0.0
3.058076,4959,4.954,2281,4149.558986,4.149558986,4141.354626,0.001981081
3.108015,5009,5.004,2280,4145.454545,4.145454545,4141.354626,0.000989995
3.15807,5059,5.054,2280,4145.454545,4.145454545,4141.354626,0.000989995
3.207992,5109,5.104,2280,4145.454545,4.145454545,4141.354626,0.000989995
3.258007,5159,5.154,2284,4161.899503,4.161899503,4141.354626,0.004960908
3.311532,5209,5.204,2272,4112.78113,4.11278113,4141.354626,-0.006899553
3.358097,5259,5.254,2258,4056.287425,4.056287425,4141.354626,-0.020540912
3.408061,5309,5.304,2284,4161.899503,4.161899503,4141.354626,0.004960908
3.458209,5359,5.354,2279,4141.354626,4.141354626,4141.354626,0.0
3.508094,5409,5.404,2281,4149.558986,4.149558986,4141.354626,0.001981081
3.558081,5459,5.454,2279,4141.354626,4.141354626,4141.354626,0.0
3.608077,5509,5.504,2276,4129.081913,4.129081913,4141.354626,-0.002963454
3.658086,5559,5.554,2275,4125.0,4.125,4141.354626,-0.0039491
3.708091,5609,5.604,2294,4203.331483,4.203331483,4141.354626,0.014965359
3.758053,5659,5.654,2279,4141.354626,4.141354626,4141.354626,0.0
3.808074,5709,5.704,2280,4145.454545,4.145454545,4141.354626,0.000989995
3.858089,5759,5.754,2272,4112.78113,4.11278113,4141.354626,-0.006899553
3.908077,5809,5.804,2279,4141.354626,4.141354626,4141.354626,0.0
3.958079,5859,5.854,2266,4088.463641,4.088463641,4141.354626,-0.012771421
4.00808,5909,5.904,2277,4133.168317,4.133168317,4141.354626,-0.001976722
4.058068,5959,5.954,2277,4133.168317,4.133168317,4141.354626,-0.001976722
4.108127,6009,6.004,2275,4125.0,4.125,4141.354626,-0.0039491
4.159857,6059,6.054,2275,4125.0,4.125,4141.354626,-0.0039491
4.208084,6109,6.104,2276,4129.081913,4.129081913,4141.354626,-0.002963454
4.258098,6159,6.154,2265,4084.42623,4.08442623,4141.354626,-0.013746322
4.308108,6209,6.204,2276,4129.081913,4.129081913,4141.354626,-0.002963454
4.358122,6259,6.254,2270,4104.657534,4.104657534,4141.354626,-0.008861132
4.411026,6309,6.304,2260,4064.305177,4.064305177,4141.354626,-0.01860489
4.458046,6359,6.354,2279,4141.354626,4.141354626,4141.354626,0.0
4.508094,6409,6.404,2283,4157.781457,4.157781457,4141.354626,0.003966536
4.558013,6459,6.454,2279,4141.354626,4.141354626,4141.354626,0.0
4.608083,6509,6.504,2280,4145.454545,4.145454545,4141.354626,0.000989995
4.658098,6559,6.554,2279,4141.354626,4.141354626,4141.354626,0.0
4.712755,6609,6.604,2278,4137.259218,4.137259218,4141.354626,-0.000988905
4.758064,6659,6.654,2279,4141.354626,4.141354626,4141.354626,0.0
4.808081,6709,6.704,2266,4088.463641,4.088463641,4141.354626,-0.012771421
4.858084,6759,6.754,2280,4145.454545,4.145454545,4141.354626,0.000989995
4.90811,6809,6.804,2282,4153.667954,4.153667954,4141.354626,0.002973261
4.959058,6859,6.854,2283,4157.781457,4.157781457,4141.354626,0.003966536
5.008104,6909,6.904,2278,4137.259218,4.137259218,4141.354626,-0.000988905
