host_elapsed_s,esp32_ms,elapsed_s,adc1,R_ohm,R_kOhm,R0_ohm,dR_R0
0.36796,5,0.0,4095,,,3637.11499,
0.657859,1959,1.954,2146,3633.55567,3.63355567,3637.11499,-0.000978611
0.749005,2009,2.004,2147,3637.11499,3.63711499,3637.11499,0.0
0.7492,2059,2.054,2138,3605.212059,3.605212059,3637.11499,-0.008771493
0.749384,2109,2.104,2145,3630.0,3.63,3637.11499,-0.001956218
0.749568,2159,2.154,2141,3615.813715,3.615813715,3637.11499,-0.00585664
0.749752,2209,2.204,2145,3630.0,3.63,3637.11499,-0.001956218
0.749935,2259,2.254,2144,3626.447975,3.626447975,3637.11499,-0.002932823
0.750117,2309,2.304,2146,3633.55567,3.63355567,3637.11499,-0.000978611
0.750301,2359,2.354,2149,3644.244604,3.644244604,3637.11499,0.001960239
0.750483,2409,2.404,2141,3615.813715,3.615813715,3637.11499,-0.00585664
0.750665,2459,2.454,2145,3630.0,3.63,3637.11499,-0.001956218
0.750847,2509,2.504,2146,3633.55567,3.63355567,3637.11499,-0.000978611
0.75103,2559,2.554,2143,3622.89959,3.62289959,3637.11499,-0.003908427
0.751215,2609,2.604,2143,3622.89959,3.62289959,3637.11499,-0.003908427
0.759017,2659,2.654,2145,3630.0,3.63,3637.11499,-0.001956218
0.809107,2709,2.704,2143,3622.89959,3.62289959,3637.11499,-0.003908427
0.859062,2759,2.754,2152,3654.966547,3.654966547,3637.11499,0.004908164
1.048989,2809,2.804,2149,3644.244604,3.644244604,3637.11499,0.001960239
1.082321,2859,2.854,2145,3630.0,3.63,3637.11499,-0.001956218
1.082878,2909,2.904,2144,3626.447975,3.626447975,3637.11499,-0.002932823
1.083065,2959,2.954,2144,3626.447975,3.626447975,3637.11499,-0.002932823
1.109117,3009,3.004,2150,3647.81491,3.64781491,3637.11499,0.00294187
1.159065,3059,3.054,2146,3633.55567,3.63355567,3637.11499,-0.000978611
1.216403,3109,3.104,2146,3633.55567,3.63355567,3637.11499,-0.000978611
1.259136,3159,3.154,2147,3637.11499,3.63711499,3637.11499,0.0
1.309064,3209,3.204,2147,3637.11499,3.63711499,3637.11499,0.0
1.359147,3259,3.254,2151,3651.388889,3.651388889,3637.11499,0.003924511
1.409054,3309,3.304,2148,3640.677966,3.640677966,3637.11499,0.000979616
1.45902,3359,3.354,2153,3658.547889,3.658547889,3637.11499,0.00589283
1.509039,3409,3.404,2137,3601.685393,3.601685393,3637.11499,-0.009741126
1.559151,3459,3.454,2148,3640.677966,3.640677966,3637.11499,0.000979616
1.609039,3509,3.504,2147,3637.11499,3.63711499,3637.11499,0.0
1.659161,3559,3.554,2148,3640.677966,3.640677966,3637.11499,0.000979616
