host_elapsed_s,esp32_ms,elapsed_s,adc1,R_ohm,R_kOhm,R0_ohm,dR_R0
0.31326,5,0.0,4095,,,4321.827411,
0.611139,1959,1.954,2324,4330.434783,4.330434783,4321.827411,0.001991605
0.747974,2009,2.004,2323,4326.128668,4.326128668,4321.827411,0.00099524
1.014656,2059,2.054,2327,4343.382353,4.343382353,4321.827411,0.00498746
1.118453,2109,2.104,2324,4330.434783,4.330434783,4321.827411,0.001991605
1.24258,2159,2.154,2322,4321.827411,4.321827411,4321.827411,0.0
1.349547,2209,2.204,2322,4321.827411,4.321827411,4321.827411,0.0
1.444666,2259,2.254,2325,4334.745763,4.334745763,4321.827411,0.002989095
1.445136,2309,2.304,2301,4232.608696,4.232608696,4321.827411,-0.020643748
1.445588,2359,2.354,2322,4321.827411,4.321827411,4321.827411,0.0
1.446039,2409,2.404,2324,4330.434783,4.330434783,4321.827411,0.001991605
1.44649,2459,2.454,2322,4321.827411,4.321827411,4321.827411,0.0
1.446933,2509,2.504,2322,4321.827411,4.321827411,4321.827411,0.0
1.447406,2559,2.554,2329,4352.038505,4.352038505,4321.827411,0.006990352
1.447757,2609,2.604,2323,4326.128668,4.326128668,4321.827411,0.00099524
1.448092,2659,2.654,2326,4339.061617,4.339061617,4321.827411,0.003987713
1.448423,2709,2.704,2322,4321.827411,4.321827411,4321.827411,0.0
1.448757,2759,2.754,2321,4317.531003,4.317531003,4321.827411,-0.000994118
1.449186,2809,2.804,2327,4343.382353,4.343382353,4321.827411,0.00498746
1.449528,2859,2.854,2323,4326.128668,4.326128668,4321.827411,0.00099524
1.616445,2909,2.904,2323,4326.128668,4.326128668,4321.827411,0.00099524
1.705738,2959,2.954,2326,4339.061617,4.339061617,4321.827411,0.003987713
1.706546,3009,3.004,2325,4334.745763,4.334745763,4321.827411,0.002989095
1.707179,3059,3.054,2325,4334.745763,4.334745763,4321.827411,0.002989095
1.70748,3109,3.104,2351,4448.566514,4.448566514,4321.827411,0.02932535
1.707776,3159,3.154,2323,4326.128668,4.326128668,4321.827411,0.00099524
1.708073,3209,3.204,2322,4321.827411,4.321827411,4321.827411,0.0
1.708395,3259,3.254,2306,4253.661263,4.253661263,4321.827411,-0.015772529
1.70869,3309,3.304,2303,4241.015625,4.241015625,4321.827411,-0.018698522
1.708982,3359,3.354,2315,4291.853933,4.291853933,4321.827411,-0.006935371
1.709277,3409,3.404,2313,4283.333333,4.283333333,4321.827411,-0.008906898
1.709564,3459,3.454,2315,4291.853933,4.291853933,4321.827411,-0.006935371
1.709847,3509,3.504,2318,4304.670793,4.304670793,4321.827411,-0.00396976
1.710136,3559,3.554,2333,4369.409762,4.369409762,4321.827411,0.011009776
1.710481,3609,3.604,2328,4347.70798,4.34770798,4321.827411,0.005988339
1.757417,3659,3.654,2321,4317.531003,4.317531003,4321.827411,-0.000994118
1.836462,3709,3.704,2319,4308.952703,4.308952703,4321.827411,-0.002978996
1.857236,3759,3.754,2316,4296.121417,4.296121417,4321.827411,-0.005947946
1.907148,3809,3.804,2329,4352.038505,4.352038505,4321.827411,0.006990352
2.005756,3859,3.854,2335,4378.125,4.378125,4321.827411,0.013026339
2.007226,3909,3.904,2332,4365.059558,4.365059558,4321.827411,0.01000321
2.128642,3959,3.954,2334,4373.764906,4.373764906,4321.827411,0.012017485
2.209809,4009,4.004,2325,4334.745763,4.334745763,4321.827411,0.002989095
2.210116,4059,4.054,2311,4274.831839,4.274831839,4321.827411,-0.010874005
2.210416,4109,4.104,2332,4365.059558,4.365059558,4321.827411,0.01000321
2.257139,4159,4.154,2329,4352.038505,4.352038505,4321.827411,0.006990352
2.327119,4209,4.204,2316,4296.121417,4.296121417,4321.827411,-0.005947946
2.357342,4259,4.254,2331,4360.714286,4.360714286,4321.827411,0.008997785
2.420727,4309,4.304,2322,4321.827411,4.321827411,4321.827411,0.0
2.457265,4359,4.354,2333,4369.409762,4.369409762,4321.827411,0.011009776
2.507214,4409,4.404,2322,4321.827411,4.321827411,4321.827411,0.0
2.570775,4459,4.454,2321,4317.531003,4.317531003,4321.827411,-0.000994118
2.60715,4509,4.504,2318,4304.670793,4.304670793,4321.827411,-0.00396976
2.657132,4559,4.554,2321,4317.531003,4.317531003,4321.827411,-0.000994118
2.723005,4609,4.604,2327,4343.382353,4.343382353,4321.827411,0.00498746
2.757101,4659,4.654,2316,4296.121417,4.296121417,4321.827411,-0.005947946
2.807105,4709,4.704,2320,4313.239437,4.313239437,4321.827411,-0.001987116
2.857098,4759,4.754,2320,4313.239437,4.313239437,4321.827411,-0.001987116
2.907192,4809,4.804,2319,4308.952703,4.308952703,4321.827411,-0.002978996
2.97603,4859,4.854,2335,4378.125,4.378125,4321.827411,0.013026339
3.007205,4909,4.904,2303,4241.015625,4.241015625,4321.827411,-0.018698522
3.057215,4959,4.954,2291,4190.853659,4.190853659,4321.827411,-0.030305179
3.107127,5009,5.004,2319,4308.952703,4.308952703,4321.827411,-0.002978996
3.186272,5059,5.054,2329,4352.038505,4.352038505,4321.827411,0.006990352
3.207158,5109,5.104,2305,4249.441341,4.249441341,4321.827411,-0.01674895
3.257197,5159,5.154,2315,4291.853933,4.291853933,4321.827411,-0.006935371
3.310649,5209,5.204,2327,4343.382353,4.343382353,4321.827411,0.00498746
3.357124,5259,5.254,2296,4211.673152,4.211673152,4321.827411,-0.025487889
3.407136,5309,5.304,2313,4283.333333,4.283333333,4321.827411,-0.008906898
3.482717,5359,5.354,2329,4352.038505,4.352038505,4321.827411,0.006990352
3.507163,5409,5.404,2327,4343.382353,4.343382353,4321.827411,0.00498746
3.557187,5459,5.454,2321,4317.531003,4.317531003,4321.827411,-0.000994118
3.607249,5509,5.504,2315,4291.853933,4.291853933,4321.827411,-0.006935371
3.683968,5559,5.554,2314,4287.591241,4.287591241,4321.827411,-0.007921688
3.707131,5609,5.604,2316,4296.121417,4.296121417,4321.827411,-0.005947946
3.757131,5659,5.654,2315,4291.853933,4.291853933,4321.827411,-0.006935371
3.807115,5709,5.704,2308,4262.115277,4.262115277,4321.827411,-0.013816409
3.85712,5759,5.754,2320,4313.239437,4.313239437,4321.827411,-0.001987116
3.907082,5809,5.804,2297,4215.850945,4.215850945,4321.827411,-0.024521217
3.964331,5859,5.854,2300,4228.412256,4.228412256,4321.827411,-0.021614735
4.007075,5909,5.904,2302,4236.809816,4.236809816,4321.827411,-0.019671678
4.057093,5959,5.954,2311,4274.831839,4.274831839,4321.827411,-0.010874005
4.107088,6009,6.004,2317,4300.393701,4.300393701,4321.827411,-0.004959409
4.157169,6059,6.054,2309,4266.349384,4.266349384,4321.827411,-0.012836706
4.207057,6109,6.104,2309,4266.349384,4.266349384,4321.827411,-0.012836706
4.257082,6159,6.154,2321,4317.531003,4.317531003,4321.827411,-0.000994118
4.307091,6209,6.204,2308,4262.115277,4.262115277,4321.827411,-0.013816409
4.361509,6259,6.254,2319,4308.952703,4.308952703,4321.827411,-0.002978996
4.40713,6309,6.304,2309,4266.349384,4.266349384,4321.827411,-0.012836706
4.457196,6359,6.354,2306,4253.661263,4.253661263,4321.827411,-0.015772529
4.507084,6409,6.404,2306,4253.661263,4.253661263,4321.827411,-0.015772529
4.557086,6459,6.454,2316,4296.121417,4.296121417,4321.827411,-0.005947946
4.609637,6509,6.504,2314,4287.591241,4.287591241,4321.827411,-0.007921688
4.657191,6559,6.554,2305,4249.441341,4.249441341,4321.827411,-0.01674895
4.707112,6609,6.604,2308,4262.115277,4.262115277,4321.827411,-0.013816409
4.757111,6659,6.654,2316,4296.121417,4.296121417,4321.827411,-0.005947946
4.807055,6709,6.704,2310,4270.588235,4.270588235,4321.827411,-0.011855905
4.861647,6759,6.754,2286,4170.149254,4.170149254,4321.827411,-0.035095839
4.907072,6809,6.804,2324,4330.434783,4.330434783,4321.827411,0.001991605
4.957069,6859,6.854,2311,4274.831839,4.274831839,4321.827411,-0.010874005
5.007067,6909,6.904,2309,4266.349384,4.266349384,4321.827411,-0.012836706
5.057065,6959,6.954,2309,4266.349384,4.266349384,4321.827411,-0.012836706
5.111674,7009,7.004,2307,4257.885906,4.257885906,4321.827411,-0.014795016
5.157161,7059,7.054,2309,4266.349384,4.266349384,4321.827411,-0.012836706
5.207061,7109,7.104,2316,4296.121417,4.296121417,4321.827411,-0.005947946
5.25707,7159,7.154,2321,4317.531003,4.317531003,4321.827411,-0.000994118
5.307066,7209,7.204,2317,4300.393701,4.300393701,4321.827411,-0.004959409
5.364142,7259,7.254,2324,4330.434783,4.330434783,4321.827411,0.001991605
5.407065,7309,7.304,2309,4266.349384,4.266349384,4321.827411,-0.012836706
5.503693,7359,7.354,2334,4373.764906,4.373764906,4321.827411,0.012017485
5.507159,7409,7.404,2318,4304.670793,4.304670793,4321.827411,-0.00396976
5.610735,7459,7.454,2313,4283.333333,4.283333333,4321.827411,-0.008906898
5.708387,7509,7.504,2331,4360.714286,4.360714286,4321.827411,0.008997785
5.708768,7559,7.554,2319,4308.952703,4.308952703,4321.827411,-0.002978996
5.709123,7609,7.604,2319,4308.952703,4.308952703,4321.827411,-0.002978996
5.757118,7659,7.654,2330,4356.373938,4.356373938,4321.827411,0.0079935
5.838356,7709,7.704,2310,4270.588235,4.270588235,4321.827411,-0.011855905
5.857125,7759,7.754,2318,4304.670793,4.304670793,4321.827411,-0.00396976
5.950195,7809,7.804,2337,4386.860068,4.386860068,4321.827411,0.015047491
5.957078,7859,7.854,2301,4232.608696,4.232608696,4321.827411,-0.020643748
6.030548,7909,7.904,2319,4308.952703,4.308952703,4321.827411,-0.002978996
6.057089,7959,7.954,2307,4257.885906,4.257885906,4321.827411,-0.014795016
6.107061,8009,8.004,2304,4245.226131,4.245226131,4321.827411,-0.01772428
6.160339,8059,8.054,2315,4291.853933,4.291853933,4321.827411,-0.006935371
6.207071,8109,8.104,2317,4300.393701,4.300393701,4321.827411,-0.004959409
6.285627,8159,8.154,2309,4266.349384,4.266349384,4321.827411,-0.012836706
6.307072,8209,8.204,2303,4241.015625,4.241015625,4321.827411,-0.018698522
6.394218,8259,8.254,2314,4287.591241,4.287591241,4321.827411,-0.007921688
6.407082,8309,8.304,2316,4296.121417,4.296121417,4321.827411,-0.005947946
6.503329,8359,8.354,2328,4347.70798,4.34770798,4321.827411,0.005988339
6.507066,8409,8.404,2298,4220.033389,4.220033389,4321.827411,-0.023553468
6.557067,8459,8.454,2313,4283.333333,4.283333333,4321.827411,-0.008906898
6.633236,8509,8.504,2312,4279.080202,4.279080202,4321.827411,-0.009891003
6.657044,8559,8.554,2285,4166.022099,4.166022099,4321.827411,-0.036050794
6.707056,8609,8.604,2305,4249.441341,4.249441341,4321.827411,-0.01674895
