Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0001"
"0.0230","0.0000","-0.0001"
"0.0430","0.0000","0.0000"
"0.0630","0.0000","0.0000"
"0.0830","0.0000","0.0000"
"0.1030","0.0001","0.0000"
"0.1230","0.0002","0.0000"
"0.1430","0.0004","0.0000"
"0.1630","0.0004","0.0000"
"0.1830","0.0004","0.0001"
"0.2030","0.0005","0.0000"
"0.2230","0.0006","-0.0001"
"0.2430","0.0009","-0.0001"
"0.2630","0.0014","0.0000"
"0.2830","0.0021","0.0000"
"0.3030","0.0028","-0.0001"
"0.3230","0.0034","-0.0001"
"0.3430","0.0038","0.0000"
"0.3630","0.0041","0.0000"
"0.3830","0.0045","0.0001"
"0.4030","0.0049","0.0000"
"0.4230","0.0053","-0.0001"
"0.4430","0.0055","-0.0002"
"0.4630","0.0058","-0.0001"
"0.4830","0.0060","0.0000"
"0.5030","0.0063","0.0000"
"0.5230","0.0066","0.0001"
"0.5430","0.0070","0.0000"
"0.5630","0.0075","0.0001"
"0.5830","0.0080","0.0000"
"0.6030","0.0084","0.0000"
"0.6230","0.0088","0.0000"
"0.6430","0.0091","0.0000"
"0.6630","0.0094","0.0000"
"0.6830","0.0096","0.0001"
"0.7030","0.0099","0.0001"
"0.7230","0.0102","0.0001"
"0.7430","0.0105","0.0000"
"0.7630","0.0108","0.0000"
"0.7830","0.0111","0.0001"
"0.8030","0.0113","0.0001"
"0.8230","0.0116","0.0001"
"0.8430","0.0119","0.0001"
"0.8630","0.0123","0.0001"
"0.8830","0.0127","0.0001"
"0.9030","0.0132","0.0001"
"0.9230","0.0136","0.0002"
"0.9430","0.0140","0.0001"
"0.9630","0.0143","0.0000"
"0.9830","0.0146","0.0000"
"1.0030","0.0148","0.0001"
"1.0230","0.0151","0.0001"
"1.0430","0.0155","0.0000"
"1.0630","0.0159","0.0001"
"1.0830","0.0163","0.0000"
"1.1030","0.0167","-0.0001"
"1.1230","0.0170","0.0001"
"1.1430","0.0172","0.0001"
"1.1630","0.0174","0.0001"
"1.1830","0.0177","0.0001"
"1.2030","0.0180","0.0001"
"1.2230","0.0183","0.0001"
"1.2430","0.0187","0.0001"
"1.2630","0.0192","0.0001"
"1.2830","0.0196","0.0000"
"1.3030","0.0200","0.0000"
"1.3230","0.0204","0.0000"
"1.3430","0.0207","0.0001"
"1.3630","0.0210","0.0001"
"1.3830","0.0213","0.0002"
"1.4030","0.0216","0.0002"
"1.4230","0.0219","0.0001"
"1.4430","0.0222","0.0001"
"1.4630","0.0225","0.0002"
"1.4830","0.0228","0.0002"
"1.5030","0.0230","0.0002"
"1.5230","0.0233","0.0002"
"1.5430","0.0237","0.0002"
"1.5630","0.0241","0.0001"
"1.5830","0.0245","0.0001"
"1.6030","0.0250","0.0001"
"1.6230","0.0254","0.0001"
"1.6430","0.0257","0.0001"
"1.6630","0.0260","0.0002"
"1.6830","0.0262","0.0002"
"1.7030","0.0265","0.0001"
"1.7230","0.0268","0.0001"
"1.7430","0.0272","0.0001"
"1.7630","0.0276","0.0002"
"1.7830","0.0280","0.0001"
"1.8030","0.0283","0.0001"
"1.8230","0.0285","0.0001"
"1.8430","0.0287","0.0001"
"1.8630","0.0290","0.0002"
"1.8830","0.0293","0.0002"
"1.9030","0.0296","0.0003"
"1.9230","0.0300","0.0002"
"1.9430","0.0304","0.0001"
"1.9630","0.0309","0.0001"
"1.9830","0.0314","0.0002"
"2.0030","0.0318","0.0002"
"2.0230","0.0321","0.0002"
"2.0430","0.0324","0.0001"
"2.0630","0.0327","0.0001"
"2.0830","0.0330","0.0001"
"2.1030","0.0333","0.0002"
"2.1230","0.0336","0.0002"
"2.1430","0.0339","0.0002"
"2.1630","0.0341","0.0002"
"2.1830","0.0344","0.0003"
"2.2030","0.0347","0.0003"
"2.2230","0.0350","0.0002"
"2.2430","0.0354","0.0002"
"2.2630","0.0358","0.0002"
"2.2830","0.0363","0.0002"
