host_elapsed_s,esp32_ms,elapsed_s,adc1,R_ohm,R_kOhm,R0_ohm,dR_R0
0.276221,5,0.0,4095,,,4400.0,
0.527583,1959,1.954,2348,4435.260446,4.435260446,4400.0,0.008013738
0.601088,2009,2.004,2350,4444.126074,4.444126074,4400.0,0.010028653
0.60129,2059,2.054,2350,4444.126074,4.444126074,4400.0,0.010028653
0.601483,2109,2.104,2317,4300.393701,4.300393701,4400.0,-0.022637795
0.601674,2159,2.154,2349,4439.690722,4.439690722,4400.0,0.009020619
0.601865,2209,2.204,2339,4395.615034,4.395615034,4400.0,-0.000996583
0.602053,2259,2.254,2347,4430.83524,4.43083524,4400.0,0.007008009
0.602243,2309,2.304,2333,4369.409762,4.369409762,4400.0,-0.006952327
0.602432,2359,2.354,2349,4439.690722,4.439690722,4400.0,0.009020619
0.602619,2409,2.404,2343,4413.184932,4.413184932,4400.0,0.002996575
0.60281,2459,2.454,2317,4300.393701,4.300393701,4400.0,-0.022637795
0.608586,2509,2.504,2331,4360.714286,4.360714286,4400.0,-0.008928571
0.658696,2559,2.554,2358,4479.792746,4.479792746,4400.0,0.018134715
0.720901,2609,2.604,2335,4378.125,4.378125,4400.0,-0.004971591
0.758714,2659,2.654,2345,4422.0,4.422,4400.0,0.005
0.808699,2709,2.704,2341,4404.389966,4.404389966,4400.0,0.000997719
0.858648,2759,2.754,2339,4395.615034,4.395615034,4400.0,-0.000996583
0.909392,2809,2.804,2338,4391.23506,4.39123506,4400.0,-0.001992032
0.991173,2859,2.854,2335,4378.125,4.378125,4400.0,-0.004971591
1.008672,2909,2.904,2340,4400.0,4.4,4400.0,0.0
1.058708,2959,2.954,2337,4386.860068,4.386860068,4400.0,-0.002986348
1.10864,3009,3.004,2346,4426.415094,4.426415094,4400.0,0.006003431
1.158649,3059,3.054,2342,4408.78494,4.40878494,4400.0,0.001996577
1.208738,3109,3.104,2355,4466.37931,4.46637931,4400.0,0.015086207
1.258629,3159,3.154,2331,4360.714286,4.360714286,4400.0,-0.008928571
1.308643,3209,3.204,2336,4382.490051,4.382490051,4400.0,-0.003979534
1.358704,3259,3.254,2332,4365.059558,4.365059558,4400.0,-0.00794101
1.410645,3309,3.304,2330,4356.373938,4.356373938,4400.0,-0.009915014
1.458672,3359,3.354,2332,4365.059558,4.365059558,4400.0,-0.00794101
1.50863,3409,3.404,2332,4365.059558,4.365059558,4400.0,-0.00794101
1.558627,3459,3.454,2337,4386.860068,4.386860068,4400.0,-0.002986348
1.608631,3509,3.504,2334,4373.764906,4.373764906,4400.0,-0.005962521
1.658717,3559,3.554,2343,4413.184932,4.413184932,4400.0,0.002996575
1.711193,3609,3.604,2338,4391.23506,4.39123506,4400.0,-0.001992032
1.758682,3659,3.654,2342,4408.78494,4.40878494,4400.0,0.001996577
1.808633,3709,3.704,2340,4400.0,4.4,4400.0,0.0
1.858677,3759,3.754,2338,4391.23506,4.39123506,4400.0,-0.001992032
1.908679,3809,3.804,2333,4369.409762,4.369409762,4400.0,-0.006952327
1.96692,3859,3.854,2341,4404.389966,4.404389966,4400.0,0.000997719
2.008609,3909,3.904,2340,4400.0,4.4,4400.0,0.0
2.058658,3959,3.954,2343,4413.184932,4.413184932,4400.0,0.002996575
2.108695,4009,4.004,2351,4448.566514,4.448566514,4400.0,0.011037844
2.158672,4059,4.054,2351,4448.566514,4.448566514,4400.0,0.011037844
2.210804,4109,4.104,2344,4417.589949,4.417589949,4400.0,0.003997716
2.258669,4159,4.154,2345,4422.0,4.422,4400.0,0.005
2.308683,4209,4.204,2332,4365.059558,4.365059558,4400.0,-0.00794101
2.358731,4259,4.254,2342,4408.78494,4.40878494,4400.0,0.001996577
2.408699,4309,4.304,2341,4404.389966,4.404389966,4400.0,0.000997719
2.458708,4359,4.354,2337,4386.860068,4.386860068,4400.0,-0.002986348
2.508708,4409,4.404,2344,4417.589949,4.417589949,4400.0,0.003997716
2.559834,4459,4.454,2336,4382.490051,4.382490051,4400.0,-0.003979534
2.608693,4509,4.504,2337,4386.860068,4.386860068,4400.0,-0.002986348
2.658663,4559,4.554,2335,4378.125,4.378125,4400.0,-0.004971591
2.708639,4609,4.604,2334,4373.764906,4.373764906,4400.0,-0.005962521
2.758689,4659,4.654,2336,4382.490051,4.382490051,4400.0,-0.003979534
2.80871,4709,4.704,2345,4422.0,4.422,4400.0,0.005
2.858681,4759,4.754,2340,4400.0,4.4,4400.0,0.0
