Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","-0.0001"
"0.0270","0.0000","-0.0001"
"0.0470","0.0000","0.0000"
"0.0670","0.0000","0.0000"
"0.0870","0.0000","0.0000"
"0.1070","0.0001","0.0000"
"0.1270","0.0003","-0.0001"
"0.1470","0.0004","-0.0001"
"0.1670","0.0004","0.0000"
"0.1870","0.0005","0.0000"
"0.2070","0.0006","0.0001"
"0.2270","0.0009","0.0000"
"0.2470","0.0014","0.0000"
"0.2670","0.0019","0.0000"
"0.2870","0.0023","0.0000"
"0.3070","0.0028","-0.0001"
"0.3270","0.0033","-0.0001"
"0.3470","0.0038","0.0000"
"0.3670","0.0043","0.0000"
"0.3870","0.0048","0.0000"
"0.4070","0.0052","0.0001"
"0.4270","0.0055","0.0001"
"0.4470","0.0058","0.0001"
"0.4670","0.0061","0.0000"
"0.4870","0.0064","0.0000"
"0.5070","0.0066","0.0001"
"0.5270","0.0069","0.0001"
"0.5470","0.0072","0.0001"
"0.5670","0.0074","0.0000"
"0.5870","0.0077","0.0001"
"0.6070","0.0081","0.0001"
"0.6270","0.0085","0.0000"
"0.6470","0.0090","0.0001"
"0.6670","0.0095","0.0000"
"0.6870","0.0099","0.0000"
"0.7070","0.0102","0.0001"
"0.7270","0.0104","0.0001"
"0.7470","0.0106","0.0001"
"0.7670","0.0109","0.0001"
"0.7870","0.0112","0.0000"
"0.8070","0.0116","0.0000"
"0.8270","0.0120","0.0001"
"0.8470","0.0124","0.0001"
"0.8670","0.0127","0.0001"
"0.8870","0.0129","0.0001"
"0.9070","0.0131","0.0000"
"0.9270","0.0134","0.0000"
"0.9470","0.0137","0.0001"
"0.9670","0.0140","0.0001"
"0.9870","0.0144","0.0001"
"1.0070","0.0148","0.0000"
"1.0270","0.0153","0.0001"
"1.0470","0.0157","0.0001"
"1.0670","0.0161","0.0001"
"1.0870","0.0164","0.0001"
"1.1070","0.0167","0.0001"
"1.1270","0.0170","0.0001"
"1.1470","0.0174","0.0001"
"1.1670","0.0177","0.0002"
"1.1870","0.0180","0.0001"
"1.2070","0.0183","0.0001"
"1.2270","0.0185","0.0001"
"1.2470","0.0188","0.0001"
"1.2670","0.0190","0.0001"
"1.2870","0.0194","0.0003"
"1.3070","0.0198","0.0002"
"1.3270","0.0203","0.0001"
"1.3470","0.0208","0.0001"
"1.3670","0.0212","0.0001"
"1.3870","0.0216","0.0001"
"1.4070","0.0218","0.0002"
"1.4270","0.0221","0.0002"
"1.4470","0.0223","0.0002"
"1.4670","0.0226","0.0002"
"1.4870","0.0230","0.0002"
"1.5070","0.0234","0.0002"
"1.5270","0.0237","0.0002"
"1.5470","0.0240","0.0003"
"1.5670","0.0243","0.0003"
"1.5870","0.0245","0.0001"
"1.6070","0.0247","0.0001"
"1.6270","0.0250","0.0002"
"1.6470","0.0253","0.0002"
"1.6670","0.0257","0.0002"
"1.6870","0.0261","0.0003"
"1.7070","0.0266","0.0002"
"1.7270","0.0271","0.0001"
"1.7470","0.0275","0.0001"
"1.7670","0.0278","0.0001"
"1.7870","0.0281","0.0001"
"1.8070","0.0284","0.0002"
"1.8270","0.0287","0.0003"
"1.8470","0.0291","0.0003"
"1.8670","0.0294","0.0003"
"1.8870","0.0296","0.0002"
"1.9070","0.0299","0.0003"
"1.9270","0.0302","0.0002"
"1.9470","0.0304","0.0003"
"1.9670","0.0307","0.0002"
"1.9870","0.0311","0.0002"
"2.0070","0.0316","0.0002"
"2.0270","0.0321","0.0002"
"2.0470","0.0325","0.0003"
"2.0670","0.0329","0.0003"
"2.0870","0.0331","0.0001"
"2.1070","0.0334","0.0001"
"2.1270","0.0336","0.0001"
"2.1470","0.0339","0.0002"
"2.1670","0.0343","0.0002"
"2.1870","0.0346","0.0003"
"2.2070","0.0350","0.0002"
"2.2270","0.0354","0.0003"
"2.2470","0.0357","0.0003"
"2.2670","0.0359","0.0002"
"2.2870","0.0361","0.0002"
"2.3070","0.0364","0.0002"
